,Cities,Countries
0,El Tarter,Andorra
1,Sant Julià de Lòria,Andorra
2,Pas de la Casa,Andorra
3,Ordino,Andorra
4,les Escaldes,Andorra
5,la Massana,Andorra
6,Encamp,Andorra
7,Canillo,Andorra
8,Arinsal,Andorra
9,Andorra la Vella,Andorra
10,Umm al Qaywayn,United Arab Emirates
11,Ras al-Khaimah,United Arab Emirates
12,Muzayri‘,United Arab Emirates
13,Murbaḩ,United Arab Emirates
14,Khawr Fakkān,United Arab Emirates
15,Dubai,United Arab Emirates
16,Dibba Al-Fujairah,United Arab Emirates
17,Dibba Al-Hisn,United Arab Emirates
18,Sharjah,United Arab Emirates
19,Ar Ruways,United Arab Emirates
20,Al Fujayrah,United Arab Emirates
21,Al Ain,United Arab Emirates
22,Ajman,United Arab Emirates
23,Adh Dhayd,United Arab Emirates
24,Abu Dhabi,United Arab Emirates
25,Zorkot,Afghanistan
26,Wulêswālī Bihsūd,Afghanistan
27,Kuhsān,Afghanistan
28,Lāsh,Afghanistan
29,Tukzār,Afghanistan
30,Mīray,Afghanistan
31,Āq Kupruk,Afghanistan
32,Zurmat,Afghanistan
33,Zaybāk,Afghanistan
34,Zīārat-e Shāh Maqşūd,Afghanistan
35,Zindah Jān,Afghanistan
36,Zarghūn Shahr,Afghanistan
37,Zaṟah Sharan,Afghanistan
38,Zaranj,Afghanistan
39,Zamtō Kêlay,Afghanistan
40,Yangī Qal‘ah,Afghanistan
41,Yaḩyá Khēl,Afghanistan
42,Wāshēr,Afghanistan
43,Tōrmay,Afghanistan
44,Tūlak,Afghanistan
45,Tītān,Afghanistan
46,Tīr Pul,Afghanistan
47,Taywarah,Afghanistan
48,Bāzār-e Tashkān,Afghanistan
49,Tarinkot,Afghanistan
50,Taloqan,Afghanistan
51,Tagāw-Bāy,Afghanistan
52,Tagāb,Afghanistan
53,Markaz-e Ḩukūmat-e Sulţān-e Bakwāh,Afghanistan
54,Spīn Bōldak,Afghanistan
55,Spērah,Afghanistan
56,Sōzmah Qal‘ah,Afghanistan
57,Siyāhgird,Afghanistan
58,Sheywah,Afghanistan
59,Shīnḏanḏ,Afghanistan
60,Shaykh Amīr Kêlay,Afghanistan
61,Qāshqāl,Afghanistan
62,Shibirghān,Afghanistan
63,Shwāk,Afghanistan
64,Shahr-e Şafā,Afghanistan
65,Shahrān,Afghanistan
66,Shahrak,Afghanistan
67,‘Alāqahdārī Shāh Jōy,Afghanistan
68,Wulêswālī Sayyid Karam,Afghanistan
69,Markaz-e Sayyidābād,Afghanistan
70,Şayād,Afghanistan
71,Sidqābād,Afghanistan
72,Sāyagaz,Afghanistan
73,Sar-e Tayghān,Afghanistan
74,Sarōbī,Afghanistan
75,Sar Kāṉī,Afghanistan
76,Sarfirāz Kalā,Afghanistan
77,Sar-e Pul,Afghanistan
78,Sar Chakān,Afghanistan
79,Sangīn,Afghanistan
80,Sang-e Māshah,Afghanistan
81,Sang-e Chārak,Afghanistan
82,Sang Atesh,Afghanistan
83,Sangar Sarāy,Afghanistan
84,Aībak,Afghanistan
85,Rū-ye Sang,Afghanistan
86,Rūdbār,Afghanistan
87,Rustāq,Afghanistan
88,Rabāţ-e Sangī-ye Pā’īn,Afghanistan
89,Rāmak,Afghanistan
90,Qurghān,Afghanistan
91,Quchanghī,Afghanistan
92,Sangalak-i-Kaisar,Afghanistan
93,Qarqīn,Afghanistan
94,Qarghah’ī,Afghanistan
95,Qarchī Gak,Afghanistan
96,Qarāwul,Afghanistan
97,Qarah Bāgh,Afghanistan
98,Qarah Bāgh,Afghanistan
99,Qala i Naw,Afghanistan
100,Qal‘ah-ye Kūf,Afghanistan
101,Qal‘ah-ye Kuhnah,Afghanistan
102,Qal‘ah-ye Shahr,Afghanistan
103,Qalāt,Afghanistan
104,Qal‘ah-ye Shāhī,Afghanistan
105,Qādis,Afghanistan
106,Pārūn,Afghanistan
107,Pul-e Khumrī,Afghanistan
108,Pul-e ‘Alam,Afghanistan
109,Pasnay,Afghanistan
110,Pāshmūl,Afghanistan
111,Pasāband,Afghanistan
112,Panjāb,Afghanistan
113,Paghmān,Afghanistan
114,Ōmnah,Afghanistan
115,Qaryeh-ye Owbeh,Afghanistan
116,Uruzgān,Afghanistan
117,Urgun,Afghanistan
118,Nūsay,Afghanistan
119,Nūrgal,Afghanistan
120,Now Zād,Afghanistan
121,Nīlī,Afghanistan
122,Nayak,Afghanistan
123,Nāyak,Afghanistan
124,Now Dahānak,Afghanistan
125,Ōkak,Afghanistan
126,Nāṟay,Afghanistan
127,Narang,Afghanistan
128,Nīkêh,Afghanistan
129,Nahrīn,Afghanistan
130,Ḩukūmat-e Nād ‘Alī,Afghanistan
131,Mūsá Qal‘ah,Afghanistan
132,Bala Murghab,Afghanistan
133,Muqêr,Afghanistan
134,Muḩammad Āghah Wuluswālī,Afghanistan
135,Mīzān ‘Alāqahdārī,Afghanistan
136,Mīr Bachah Kōṯ,Afghanistan
137,Mīrān,Afghanistan
138,Mīrābād,Afghanistan
139,Maymana,Afghanistan
140,Maīdān Khūlah,Afghanistan
141,Mingajik,Afghanistan
142,Mehtar Lām,Afghanistan
143,Mazār-e Sharīf,Afghanistan
144,Māymay,Afghanistan
145,Mutā Khān,Afghanistan
146,Mashhad,Afghanistan
147,Mardīān,Afghanistan
148,Mandōl,Afghanistan
149,Māmā Khēl,Afghanistan
150,Lashkar Gāh,Afghanistan
151,Lāsh-e Juwayn,Afghanistan
152,Larkird,Afghanistan
153,La‘l,Afghanistan
154,Kushk,Afghanistan
155,Kōṯowāl,Afghanistan
156,Kushk-e Kuhnah,Afghanistan
157,Kuran wa Munjan,Afghanistan
158,Kunduz,Afghanistan
159,Khōshī,Afghanistan
160,Khōshāmand,Afghanistan
161,Khwājah Ghār,Afghanistan
162,Khwājah Dū Kōh,Afghanistan
163,Deh Khwāhān,Afghanistan
164,Khulbisāt,Afghanistan
165,Khūgyāṉī,Afghanistan
166,Khōst,Afghanistan
167,Khulm,Afghanistan
168,Khudāydād Khēl,Afghanistan
169,Khinjān,Afghanistan
170,Khinj,Afghanistan
171,Khāsh,Afghanistan
172,Khān Neshīn,Afghanistan
173,Khānaqāh,Afghanistan
174,Chahār Bāgh,Afghanistan
175,Khandūd,Afghanistan
176,Khānaqāh,Afghanistan
177,Khanabad,Afghanistan
178,Khamyāb,Afghanistan
179,Khākirān,Afghanistan
180,Kaz̲h̲ah,Afghanistan
181,Kishk-e Nakhūd,Afghanistan
182,Karukh,Afghanistan
183,Kanḏay,Afghanistan
184,Kandahār,Afghanistan
185,Kalān Deh,Afghanistan
186,Kalakān,Afghanistan
187,Kalafgān,Afghanistan
188,Kajrān,Afghanistan
189,Kai,Afghanistan
190,Kabul,Afghanistan
191,Jurm,Afghanistan
192,Jawand,Afghanistan
193,Jānī Khēl,Afghanistan
194,Jalrēz,Afghanistan
195,Jalālābād,Afghanistan
196,Jabal os Saraj,Afghanistan
197,Ḩukūmat-e Shīnkaī,Afghanistan
198,Herāt,Afghanistan
199,Ḩājī Khēl,Afghanistan
200,Ḩāfiz̧ Moghul,Afghanistan
201,Khafizan,Afghanistan
202,Guz̄arah,Afghanistan
203,Gōshtah,Afghanistan
204,Gōmal Kêlay,Afghanistan
205,‘Alāqahdārī Gēlān,Afghanistan
206,Ghōriyān,Afghanistan
207,Ghormach,Afghanistan
208,Ghurayd Gharamē,Afghanistan
209,Ghazni,Afghanistan
210,Gereshk,Afghanistan
211,Gardez,Afghanistan
212,Fayzabad,Afghanistan
213,Faīẕābād,Afghanistan
214,Fayẕābād,Afghanistan
215,Qal‘ah-ye Fārsī,Afghanistan
216,Farkhār,Afghanistan
217,Farah,Afghanistan
218,Istālif,Afghanistan
219,Kafir Qala,Afghanistan
220,Injīl,Afghanistan
221,Imām Şāḩib,Afghanistan
222,Dōshī,Afghanistan
223,Dowlatyār,Afghanistan
224,Dowlat Shāh,Afghanistan
225,Dowlatābād,Afghanistan
226,Dowlatābād,Afghanistan
227,Dū Qal‘ah,Afghanistan
