,Cities,Countries,Population
0,High Rock,Bahamas,3744.0
1,Isle of Arran,United Kingdom,5058.0
2,Aígio,Greece,20422.0
3,Sherkot,India,57361.0
4,Karstädt,Germany,7189.0
5,Kolwezi,Democratic Republic of the Congo,418000.0
6,Denée,France,1467.0
7,Puting Kahoy,Philippines,4046.0
8,Sever do Vouga,Portugal,0.0
9,Bătarci,Romania,3681.0
10,District Heights,USA,6144.0
11,Spijkenisse,Netherlands,74988.0
12,Pantelimon,Romania,712.0
13,Héron,Belgium,4305.0
14,Dzüünharaa,Mongolia,18830.0
15,Dhanbād,India,219636.0
16,Mendexa,Spain,0.0
17,Cherry Creek,USA,11120.0
18,Coupvray,France,2964.0
19,Carignan,France,3249.0
20,La Curva,Mexico,5651.0
21,Belozërsk,Russia,11049.0
22,Santa María Huiramangaro (San Juan Tumbio),Mexico,2590.0
23,Yuracyacu,Peru,0.0
24,Poprad,Slovakia,57431.0
25,Doppl,Austria,3136.0
26,Beaufort,Malaysia,15855.0
27,Sirsa,India,181639.0
28,Boisseron,France,1315.0
29,Abbeville,USA,2620.0
30,Gura Suhașului,Romania,1513.0
31,Snezhnogorsk,Russia,1286.0
32,Seehof,Germany,1048.0
33,Fossalunga,Italy,1539.0
34,Rūjiena,Latvia,3638.0
35,Lehe,Germany,1155.0
36,Kawthoung,Myanmar,57949.0
37,Xochitonalco,Mexico,1345.0
38,Bălțești,Romania,1361.0
39,Ialysós,Greece,11473.0
40,Brigg,United Kingdom,6787.0
41,Ca' degli Oppi,Italy,1349.0
42,Montalbano,Italy,2686.0
43,El Chayote,Mexico,1817.0
44,Muratpaşa,Turkey,450000.0
45,West Hempstead,USA,18862.0
46,Ingwiller,France,4098.0
47,Providencia,Mexico,4501.0
48,Amstetten,Austria,15559.0
49,Ipatinga,Brazil,228746.0
50,Hawley,USA,1152.0
51,Emtmannsberg,Germany,1146.0
52,Kitgum,Uganda,56891.0
53,Finestrat,Spain,3908.0
54,Fais,Micronesia,215.0
55,Alfreton,United Kingdom,22550.0
56,Botao,Philippines,2719.0
57,Socopó,Venezuela,0.0
58,Villiers-en-Plaine,France,1343.0
59,South Point,USA,1376.0
60,Salem,USA,164549.0
61,Burry Port,United Kingdom,8310.0
62,Guanay,Bolivia,0.0
63,New Hartford Center,USA,1385.0
64,Casella,Italy,2662.0
65,Nianzishan,China,62131.0
66,San José Boxay,Mexico,1037.0
67,Weitra,Austria,1599.0
68,Igurusi,Tanzania,24895.0
69,Cagayan de Oro,Philippines,445103.0
70,Cottbus,Germany,84754.0
71,Pouso Alegre,Brazil,115201.0
72,Qibray,Uzbekistan,27750.0
73,Moreland,USA,1278.0
74,San Isidro,Mexico,2512.0
75,Sukoharjo,Indonesia,0.0
76,Inwil,Switzerland,2163.0
77,Fountain Green,USA,1083.0
78,San Pietro in Cariano,Italy,6119.0
79,Richmond,Canada,182000.0
80,Kırka,Turkey,4097.0
81,Little Dunmow,United Kingdom,2190.0
82,Lanouée,France,1638.0
83,Pine Ridge,USA,3308.0
84,Buruanga,Philippines,0.0
85,Montbard,France,5737.0
86,Selzen,Germany,1557.0
87,Gricignano di Aversa,Italy,10559.0
88,San Jacinto,Mexico,1661.0
89,Clearlake Oaks,USA,2359.0
90,Şirineasa,Romania,2571.0
91,Linares de la Sierra,Spain,0.0
92,Romanillos de Atienza,Spain,59.0
93,Selty,Russia,5523.0
94,Marquion,France,1035.0
95,Jonestown,USA,1214.0
96,Vĩnh Yên,Vietnam,17876.0
97,Saint-Rémy-en-Rollat,France,1483.0
